KO_ID	KO_name	KO_def	module_IDs	module_defs	pathway_IDs	pathway_defs
K03937	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03938	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03939	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03940	NDUFS7	NADH dehydrogenase (ubiquinone) Fe-S protein 7	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03941	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03942	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03943	NDUFV2	NADH dehydrogenase (ubiquinone) flavoprotein 2	M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03945	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1	M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03946	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2	M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03949	NDUFA5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5	M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03950	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6	M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03952	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8	M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03953	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9	M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03955	NDUFAB1	NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein	M00146; M00873; M00874	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex; Fatty acid biosynthesis in mitochondria, animals; Fatty acid biosynthesis in mitochondria, fungi	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03959	NDUFB3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3	M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03963	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 7	M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03965	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9	M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03966	NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 10	M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	map00190; map01100; map04714; map04723; map04932; map05010; map05012; map05014; map05016; map05020; map05022; map05208; map05415	Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Retrograde endocannabinoid signaling; Non-alcoholic fatty liver disease; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration - multiple diseases; Chemical carcinogenesis - reactive oxygen species; Diabetic cardiomyopathy
K03969	pspA	phage shock protein A				
K03970	pspB	phage shock protein B				
K03972	pspE	phage shock protein E				
K03973	pspC	phage shock protein C				
K03974	pspF	psp operon transcriptional activator				
K03975	dedA	membrane-associated protein				
K03976	ybaK, ebsC	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase				
K03977	engA, der	GTPase				
K03978	engB	GTP-binding protein				
K03979	obgE, cgtA, MTG2	GTPase				
K03980	murJ, mviN	putative peptidoglycan lipid II flippase				
K03981	dsbC	thiol:disulfide interchange protein DsbC				
K04019	eutA	ethanolamine utilization protein EutA			map00564; map01100	Glycerophospholipid metabolism; Metabolic pathways
K04020	eutD	phosphotransacetylase			map00620; map01100	Pyruvate metabolism; Metabolic pathways
K04021	eutE	aldehyde dehydrogenase			map00620; map01100; map01120	Pyruvate metabolism; Metabolic pathways; Microbial metabolism in diverse environments
K04024	eutJ	ethanolamine utilization protein EutJ				
K04026	eutL	ethanolamine utilization protein EutL				
K04027	eutM	ethanolamine utilization protein EutM				
K04028	eutN	ethanolamine utilization protein EutN				
K04029	eutP	ethanolamine utilization protein EutP				
K04030	eutQ	ethanolamine utilization protein EutQ				
K04031	eutS	ethanolamine utilization protein EutS				
K04032	eutT	ethanolamine utilization cobalamin adenosyltransferase			map00860; map01100; map01240	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of cofactors
K04033	eutR	AraC family transcriptional regulator, ethanolamine operon transcriptional activator				
K04034	bchE	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04035	E1.14.13.81, acsF, chlE	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04036	bchJ	divinyl protochlorophyllide a 8-vinyl-reductase			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04037	chlL	light-independent protochlorophyllide reductase subunit L			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04038	chlN	light-independent protochlorophyllide reductase subunit N			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04039	chlB	light-independent protochlorophyllide reductase subunit B			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04040	chlG, bchG	chlorophyll/bacteriochlorophyll a synthase			map00860; map01100; map01110	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
K04041	fbp3	fructose-1,6-bisphosphatase III	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	map00010; map00030; map00051; map00680; map00710; map01100; map01110; map01120	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Methane metabolism; Carbon fixation in photosynthetic organisms; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
K04042	glmU	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	map00520; map00541; map01100	Amino sugar and nucleotide sugar metabolism; O-Antigen nucleotide sugar biosynthesis; Metabolic pathways
K04043	dnaK, HSPA9	molecular chaperone DnaK			map03018; map04212; map05152	RNA degradation; Longevity regulating pathway - worm; Tuberculosis
K04044	hscA	molecular chaperone HscA				
K04045	hscC	molecular chaperone HscC				
K04046	yegD	hypothetical chaperone protein				
K04047	dps	starvation-inducible DNA-binding protein				
K04053	yscI, sctI	type III secretion protein I				
K04054	yscK, sctK	type III secretion protein K				
K04056	yscO, sctO	type III secretion protein O			map03070	Bacterial secretion system
K04058	yscW, sctW	type III secretion protein W			map03070	Bacterial secretion system
K04059	yscX, sctX	type III secretion protein X			map03070	Bacterial secretion system
K04061	flhB2	flagellar biosynthesis protein				
K04062	osmB	osmotically inducible lipoprotein OsmB				
K04063	osmC, ohr	lipoyl-dependent peroxiredoxin				
K04064	osmE	osmotically inducible lipoprotein OsmE				
K04065	osmY	hyperosmotically inducible periplasmic protein				
K04066	priA	primosomal protein N' (replication factor Y) (superfamily II helicase)			map03440	Homologous recombination
K04068	nrdG	anaerobic ribonucleoside-triphosphate reductase activating protein				
K04069	pflA, pflC, pflE	pyruvate formate lyase activating enzyme				
K04070	pflX	putative pyruvate formate lyase activating enzyme				
K04072	adhE	acetaldehyde dehydrogenase / alcohol dehydrogenase			map00010; map00071; map00350; map00620; map00625; map00626; map00650; map01100; map01110; map01120; map01220; map05146	Glycolysis / Gluconeogenesis; Fatty acid degradation; Tyrosine metabolism; Pyruvate metabolism; Chloroalkane and chloroalkene degradation; Naphthalene degradation; Butanoate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Amoebiasis
K04073	mhpF	acetaldehyde dehydrogenase	M00545; M00569	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA; Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	map00360; map00362; map00620; map00621; map00622; map00650; map01100; map01120; map01220	Phenylalanine metabolism; Benzoate degradation; Pyruvate metabolism; Dioxin degradation; Xylene degradation; Butanoate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K04074	divIVA	cell division initiation protein				
K04075	tilS, mesJ	tRNA(Ile)-lysidine synthase				
K04076	lonB	ATP-dependent Lon protease				
K04077	groEL, HSPD1	chaperonin GroEL			map03018; map04212; map04940; map05134; map05152; map05417	RNA degradation; Longevity regulating pathway - worm; Type I diabetes mellitus; Legionellosis; Tuberculosis; Lipid and atherosclerosis
K04078	groES, HSPE1	chaperonin GroES				
K04079	HSP90A, htpG	molecular chaperone HtpG			map04141; map04151; map04217; map04612; map04621; map04626; map04657; map04659; map04914; map04915; map05132; map05200; map05207; map05215; map05417; map05418	Protein processing in endoplasmic reticulum; PI3K-Akt signaling pathway; Necroptosis; Antigen processing and presentation; NOD-like receptor signaling pathway; Plant-pathogen interaction; IL-17 signaling pathway; Th17 cell differentiation; Progesterone-mediated oocyte maturation; Estrogen signaling pathway; Salmonella infection; Pathways in cancer; Chemical carcinogenesis - receptor activation; Prostate cancer; Lipid and atherosclerosis; Fluid shear stress and atherosclerosis
K04080	ibpA	molecular chaperone IbpA				
K04082	hscB, HSCB, HSC20	molecular chaperone HscB				
K04083	hslO	molecular chaperone Hsp33				
K04084	dsbD, dipZ	thioredoxin:protein disulfide reductase				
K04085	tusA, sirA	tRNA 2-thiouridine synthesizing protein A			map04122	Sulfur relay system
K04087	hflC	modulator of FtsH protease HflC				
K04088	hflK	modulator of FtsH protease HflK				
K04090	E1.2.7.8	indolepyruvate ferredoxin oxidoreductase				
K04091	ssuD, msuD	alkanesulfonate monooxygenase			map00920; map01100	Sulfur metabolism; Metabolic pathways
K04092	tyrA1	chorismate mutase	M00024; M00025; M00040	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine; Tyrosine biosynthesis, chorismate => HPP => tyrosine; Tyrosine biosynthesis, chorismate => arogenate => tyrosine	map00400; map01100; map01110; map01230	Phenylalanine, tyrosine and tryptophan biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
K04093	pheA1	chorismate mutase	M00024; M00025	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine; Tyrosine biosynthesis, chorismate => HPP => tyrosine	map00400; map01100; map01110; map01230	Phenylalanine, tyrosine and tryptophan biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
K04094	trmFO, gid	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase				
K04095	fic	cell filamentation protein				
K04096	smf	DNA processing protein				
K04097	HPGDS	prostaglandin-H2 D-isomerase / glutathione transferase			map00480; map00590; map00980; map00982; map01100; map05204	Glutathione metabolism; Arachidonic acid metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Metabolic pathways; Chemical carcinogenesis - DNA adducts
K04098	chqB	hydroxyquinol 1,2-dioxygenase			map00361; map00362; map01100; map01120	Chlorocyclohexane and chlorobenzene degradation; Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04100	ligA	protocatechuate 4,5-dioxygenase, alpha chain			map00362; map00624; map00627; map01100; map01120	Benzoate degradation; Polycyclic aromatic hydrocarbon degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04101	ligB	protocatechuate 4,5-dioxygenase, beta chain			map00362; map00624; map00627; map01100; map01120	Benzoate degradation; Polycyclic aromatic hydrocarbon degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04102	pht5	4,5-dihydroxyphthalate decarboxylase	M00623	Phthalate degradation, phthalate => protocatechuate	map00624; map01100; map01120	Polycyclic aromatic hydrocarbon degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04104	accD3	acyl-CoA carboxylase subunit beta				
K04105	hbaA	4-hydroxybenzoate-CoA ligase			map00362; map00627; map01100; map01120; map01220	Benzoate degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K04110	badA	benzoate-CoA ligase			map00362; map00627; map01100; map01120	Benzoate degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04112	bcrC, badD	benzoyl-CoA reductase subunit C	M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	map00362; map01100; map01120; map01220	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K04113	bcrB, badE	benzoyl-CoA reductase subunit B	M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	map00362; map01100; map01120; map01220	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K04114	bcrA, badF	benzoyl-CoA reductase subunit A	M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	map00362; map01100; map01120; map01220	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K04115	bcrD, badG	benzoyl-CoA reductase subunit D	M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	map00362; map01100; map01120; map01220	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
K04116	aliA	cyclohexanecarboxylate-CoA ligase	M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	map00362; map01100; map01120	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04117	aliB	cyclohexanecarboxyl-CoA dehydrogenase	M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	map00362; map01100; map01120	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
K04127	cefD	isopenicillin-N epimerase	M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	map00311; map01100; map01110	Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
K04335	csgB	minor curlin subunit			map02026	Biofilm formation - Escherichia coli
K04337	csgE	curli production assembly/transport component CsgE				
K04338	csgF	curli production assembly/transport component CsgF				
K04339	stsE	scyllo-inosamine 4-kinase			map00521; map01110	Streptomycin biosynthesis; Biosynthesis of secondary metabolites
K04343	strB	streptomycin 6-kinase				
K04348	PPP3C, CNA	serine/threonine-protein phosphatase 2B catalytic subunit			map04010; map04020; map04022; map04114; map04218; map04310; map04360; map04370; map04380; map04625; map04650; map04658; map04659; map04660; map04662; map04720; map04724; map04728; map04921; map04922; map04924; map05010; map05014; map05020; map05022; map05031; map05152; map05163; map05166; map05167; map05170; map05235; map05417	MAPK signaling pathway; Calcium signaling pathway; cGMP-PKG signaling pathway; Oocyte meiosis; Cellular senescence; Wnt signaling pathway; Axon guidance; VEGF signaling pathway; Osteoclast differentiation; C-type lectin receptor signaling pathway; Natural killer cell mediated cytotoxicity; Th1 and Th2 cell differentiation; Th17 cell differentiation; T cell receptor signaling pathway; B cell receptor signaling pathway; Long-term potentiation; Glutamatergic synapse; Dopaminergic synapse; Oxytocin signaling pathway; Glucagon signaling pathway; Renin secretion; Alzheimer disease; Amyotrophic lateral sclerosis; Prion disease; Pathways of neurodegeneration - multiple diseases; Amphetamine addiction; Tuberculosis; Human cytomegalovirus infection; Human T-cell leukemia virus 1 infection; Kaposi sarcoma-associated herpesvirus infection; Human immunodeficiency virus 1 infection; PD-L1 expression and PD-1 checkpoint pathway in cancer; Lipid and atherosclerosis
K04354	PPP2R2	serine/threonine-protein phosphatase 2A regulatory subunit B			map03015; map04071; map04111; map04151; map04152; map04261; map04390; map04391; map04530; map04728; map05142; map05160; map05165	mRNA surveillance pathway; Sphingolipid signaling pathway; Cell cycle - yeast; PI3K-Akt signaling pathway; AMPK signaling pathway; Adrenergic signaling in cardiomyocytes; Hippo signaling pathway; Hippo signaling pathway - fly; Tight junction; Dopaminergic synapse; Chagas disease; Hepatitis C; Human papillomavirus infection
K04382	PPP2C	serine/threonine-protein phosphatase 2A catalytic subunit			map03015; map04013; map04071; map04111; map04113; map04114; map04136; map04138; map04140; map04151; map04152; map04261; map04350; map04390; map04391; map04530; map04728; map04730; map05142; map05160; map05165	mRNA surveillance pathway; MAPK signaling pathway - fly; Sphingolipid signaling pathway; Cell cycle - yeast; Meiosis - yeast; Oocyte meiosis; Autophagy - other; Autophagy - yeast; Autophagy - animal; PI3K-Akt signaling pathway; AMPK signaling pathway; Adrenergic signaling in cardiomyocytes; TGF-beta signaling pathway; Hippo signaling pathway; Hippo signaling pathway - fly; Tight junction; Dopaminergic synapse; Long-term depression; Chagas disease; Hepatitis C; Human papillomavirus infection
K04392	RAC1	Ras-related C3 botulinum toxin substrate 1			map04010; map04013; map04014; map04015; map04024; map04062; map04071; map04145; map04151; map04310; map04360; map04361; map04370; map04380; map04510; map04520; map04530; map04613; map04620; map04650; map04662; map04664; map04666; map04670; map04722; map04810; map04932; map04933; map04972; map05014; map05020; map05022; map05100; map05120; map05130; map05131; map05132; map05135; map05163; map05167; map05169; map05170; map05200; map05203; map05205; map05208; map05210; map05211; map05212; map05231; map05415; map05416; map05417; map05418	MAPK signaling pathway; MAPK signaling pathway - fly; Ras signaling pathway; Rap1 signaling pathway; cAMP signaling pathway; Chemokine signaling pathway; Sphingolipid signaling pathway; Phagosome; PI3K-Akt signaling pathway; Wnt signaling pathway; Axon guidance; Axon regeneration; VEGF signaling pathway; Osteoclast differentiation; Focal adhesion; Adherens junction; Tight junction; Neutrophil extracellular trap formation; Toll-like receptor signaling pathway; Natural killer cell mediated cytotoxicity; B cell receptor signaling pathway; Fc epsilon RI signaling pathway; Fc gamma R-mediated phagocytosis; Leukocyte transendothelial migration; Neurotrophin signaling pathway; Regulation of actin cytoskeleton; Non-alcoholic fatty liver disease; AGE-RAGE signaling pathway in diabetic complications; Pancreatic secretion; Amyotrophic lateral sclerosis; Prion disease; Pathways of neurodegeneration - multiple diseases; Bacterial invasion of epithelial cells; Epithelial cell signaling in Helicobacter pylori infection; Pathogenic Escherichia coli infection; Shigellosis; Salmonella infection; Yersinia infection; Human cytomegalovirus infection; Kaposi sarcoma-associated herpesvirus infection; Epstein-Barr virus infection; Human immunodeficiency virus 1 infection; Pathways in cancer; Viral carcinogenesis; Proteoglycans in cancer; Chemical carcinogenesis - reactive oxygen species; Colorectal cancer; Renal cell carcinoma; Pancreatic cancer; Choline metabolism in cancer; Diabetic cardiomyopathy; Viral myocarditis; Lipid and atherosclerosis; Fluid shear stress and atherosclerosis
K04427	MAP3K7, TAK1	mitogen-activated protein kinase kinase kinase 7			map04010; map04013; map04064; map04140; map04152; map04214; map04310; map04380; map04520; map04613; map04620; map04621; map04622; map04624; map04657; map04660; map04668; map05130; map05131; map05132; map05135; map05140; map05145; map05161; map05162; map05168; map05169; map05170; map05171; map05417; map05418	MAPK signaling pathway; MAPK signaling pathway - fly; NF-kappa B signaling pathway; Autophagy - animal; AMPK signaling pathway; Apoptosis - fly; Wnt signaling pathway; Osteoclast differentiation; Adherens junction; Neutrophil extracellular trap formation; Toll-like receptor signaling pathway; NOD-like receptor signaling pathway; RIG-I-like receptor signaling pathway; Toll and Imd signaling pathway; IL-17 signaling pathway; T cell receptor signaling pathway; TNF signaling pathway; Pathogenic Escherichia coli infection; Shigellosis; Salmonella infection; Yersinia infection; Leishmaniasis; Toxoplasmosis; Hepatitis B; Measles; Herpes simplex virus 1 infection; Epstein-Barr virus infection; Human immunodeficiency virus 1 infection; Coronavirus disease - COVID-19; Lipid and atherosclerosis; Fluid shear stress and atherosclerosis
